"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","633","Check for Prime Number1 Array","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:37:50 EST 2025","","Practice.spec.js","",""
"","1046","Reverse a string","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:37:50 EST 2025","","Practice.spec.js","",""
"","858","String Comparison","chromium","Thu Nov 27 17:37:50 EST 2025","passed","Thu Nov 27 17:37:50 EST 2025","","Practice.spec.js","",""
"","55938","Login to Sherwin Account","chromium","Thu Nov 27 17:17:35 EST 2025","failed","Thu Nov 27 17:18:31 EST 2025","","SherwinW.spec.js","",""
"","678","Check for palindrome","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:37:49 EST 2025","","Practice.spec.js","",""
"","1701","Check for Frequency for Char","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:37:51 EST 2025","","Practice.spec.js","",""
"","14284","Login to Sherwin Account","chromium","Thu Nov 27 17:17:36 EST 2025","failed","Thu Nov 27 17:17:50 EST 2025","","SherwinPaintSearch.spec.js","",""
"","1670","Check for Prime Number","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:37:51 EST 2025","","Practice.spec.js","",""
"","1390","Check for cookies","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:37:51 EST 2025","","Practice.spec.js","",""
"","19064","Login to Sherwin Account","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:38:08 EST 2025","","Practice.spec.js","",""
"","1372","Array Comparison","chromium","Thu Nov 27 17:37:49 EST 2025","passed","Thu Nov 27 17:37:51 EST 2025","","Practice.spec.js","",""
